id,scenic_id,aspect_name,score,keywords
1,5,游,4.63,海洋公园、可以、还有、很多、各种、除了、海洋、缆车、项目、香港
2,5,行,4.82,海洋公园、可以、缆车、时间、过山车、还有、很多、下午、各种、刺激
3,5,食,5.0,海洋、海洋公园、缆车、项目、可以、天地、时间、排队、香港、还有
4,5,购,4.99,海洋公园、还有、很多、各种、好玩、项目、可以、海洋、乐园、海豚
5,5,住,5.0,可以、乐园、海洋公园、高峰、地铁、排队、缆车、推荐、小朋友、餐厅
6,5,娱,5.0,还有、除了、海洋公园、海洋、可以、项目、香港、表演、推荐、游乐
7,3,游,4.99,星光、大道、香港、电影、尖沙咀、杰出、纪念、牌匾、工作者、新世界
8,3,行,4.99,星光、大道、手印、可以、明星、香港、李小龙、还有、星巴克、沿着
9,3,娱,5.0,夜景、香港、一下、欣赏、外滩、毕竟、世界、三大、之一、千万亿
10,3,食,5.0,出来、星光、大道、还有、起个、找寻、一家、正宗、港式、餐厅
11,4,购,5.0,维多利亚港、尖沙咀、香港、中环、夜景、维港、小轮、码头、时间、世界
12,4,行,5.0,维多利亚港、香港、小轮、天星、尖沙咀、时间、之一、夜景、可以、码头
13,4,住,5.0,邮轮、码头、烟花、海上、小轮、尖沙咀、晚上、时间、位置、维多利亚港
14,4,游,4.52,维多利亚港、香港、两岸、之一、之间、南北、维港、可以、表演、夜晚
15,4,娱,4.93,夜景、维多利亚港、维多利亚、香港、维港、灯光、可以、表演、白天、晚上
16,4,食,5.0,维多利亚港、邮轮、烟花、海上、港口、时间、夜晚、可以、提前、漂浮
17,1,游,4.0,山顶、缆车、夜景、晚上、一次、香港、小时、地方、白天、观景
18,1,娱,3.3,夜景、晚上、一次、缆车、可以、排队、小时、俯瞰、建议、整个
19,1,行,3.62,山顶、缆车、夜景、一次、晚上、小时、观景、年前、香港、排队
20,1,购,4.43,缆车、排队、山顶、可以、香港、上山、夜景、小时、没有、太平
21,1,食,4.5,山顶、可以、排队、缆车、香港、餐厅、上山、下山、很多、夜景
22,1,住,5.0,山顶、可以、很多、餐厅、香港、商场、太平、时间、一天、一直
23,2,游,4.63,景点、步行、香港、游览、情怀、TVB、漫步、丰厚、之间、距离
24,2,行,4.63,尖沙咀、HK、其实、东西、很多、购物、景点、就是、这些、不会
25,2,食,4.93,尖沙咀、HK、就是、其实、购物、美食、很多、东西、地方、第一次
26,2,购,4.87,尖沙咀、购物、HK、很多、东西、其实、香港、可以、方便、游客
27,2,娱,5.0,购物、夜景、城市、现代化、娱乐、无限、美丽、香港、尖沙咀、维多利亚港
28,2,住,4.99,香港、维多利亚港、方便、打卡、购物、美食、住宿、码头、应有尽有、建议
