scenic_name,ym,comment_cnt,avg_star
维多利亚港,2019-04,6448,4.85
太平山,2019-03,6448,4.54
尖沙咀,2018-12,5919,4.5
香港海洋公园,2019-03,3972,4.25
香港海洋公园,2019-02,3476,4.57
星光大道,2018-12,3473,4.14
星光大道,2018-11,3472,4.29
尖沙咀,2019-01,1489,4.67
维多利亚港,2019-05,1012,4.5
太平山,2019-04,1003,4.01
星光大道,2019-01,500,4.0
太平山,2019-05,15,4.8
维多利亚港,2019-06,13,4.62
尖沙咀,2019-03,12,4.67
尖沙咀,2019-02,12,4.25
星光大道,2019-02,11,4.18
香港海洋公园,2019-07,10,4.3
香港海洋公园,2019-04,10,4.6
维多利亚港,2019-07,9,4.44
尖沙咀,2019-05,9,4.67
星光大道,2019-05,8,3.88
太平山,2019-06,8,4.5
星光大道,2019-04,8,4.75
香港海洋公园,2019-06,8,4.75
星光大道,2019-06,7,3.71
星光大道,2019-03,7,4.0
尖沙咀,2019-04,6,4.17
星光大道,2019-07,6,4.5
太平山,2019-07,6,4.83
香港海洋公园,2019-05,5,4.2
太平山,2019-01,5,4.6
香港海洋公园,2019-01,5,5.0
尖沙咀,2019-06,5,4.6
香港海洋公园,2018-11,4,5.0
太平山,2018-11,4,3.25
香港海洋公园,2019-08,4,4.75
维多利亚港,2019-02,4,5.0
维多利亚港,2019-01,3,4.67
香港海洋公园,2018-12,3,5.0
尖沙咀,2019-07,3,4.33
太平山,2018-12,3,4.67
尖沙咀,2023-08,2,4.5
太平山,2019-09,2,4.0
维多利亚港,2019-08,2,5.0
星光大道,2023-08,2,4.5
星光大道,2019-08,2,4.5
太平山,2019-02,2,4.0
尖沙咀,2023-12,1,5.0
维多利亚港,2018-12,1,4.0
太平山,2025-01,1,5.0
星光大道,2022-08,1,5.0
星光大道,2018-03,1,5.0
维多利亚港,2022-08,1,5.0
太平山,2019-10,1,5.0
星光大道,2023-12,1,5.0
香港海洋公园,2019-12,1,3.0
太平山,2024-03,1,5.0
维多利亚港,2021-01,1,5.0
太平山,2021-01,1,5.0
香港海洋公园,2019-10,1,5.0
维多利亚港,2019-12,1,5.0
尖沙咀,2024-07,1,4.0
维多利亚港,2023-08,1,5.0
星光大道,2023-10,1,4.0
维多利亚港,2019-11,1,5.0
维多利亚港,2023-05,1,4.0
维多利亚港,2018-11,1,5.0
维多利亚港,2024-03,1,5.0
香港海洋公园,2019-11,1,5.0
